protocol,side,symbol,symbol_grouped,volume_usd,events,share_pct,rank_in_protocol
spark,Borrow,USDT,USDT,5862221845.445051,5709,39.72,1
spark,Borrow,USDS,USDS,4007231472.5299654,2299,27.15,2
spark,Borrow,WETH,WETH,3662708626.5398984,3028,24.82,3
spark,Borrow,USDC,USDC,899505778.1794137,3468,6.09,4
spark,Borrow,DAI,DAI,147876868.76035345,802,1,5
spark,Borrow,PYUSD,Other,128791767.2114119,146,0.87,6
spark,Borrow,cbBTC,Other,48183696.142488986,113,0.33,7
spark,Borrow,tBTC,Other,2652083.2652616273,18,0.02,8
spark,Borrow,rETH,Other,705.9380972764358,5,0,9
spark,Deposit,USDT,USDT,16150496006.495367,6769,36.7,1
spark,Deposit,wstETH,wstETH,8780801343.359177,3970,19.95,2
spark,Deposit,WETH,WETH,7984713008.971332,9576,18.14,3
spark,Deposit,USDS,USDS,5985522830.835286,1769,13.6,4
spark,Deposit,cbBTC,cbBTC,1845685988.5209482,942,4.19,5
spark,Deposit,weETH,Other,938450460.1091248,520,2.13,6
spark,Deposit,WBTC,Other,857632036.1162187,682,1.95,7
spark,Deposit,USDC,Other,685899484.1139741,2833,1.56,8
spark,Deposit,LBTC,Other,459577165.7519958,265,1.04,9
spark,Deposit,DAI,Other,225597109.8388048,1108,0.51,10
spark,Deposit,PYUSD,Other,55987788.16507024,146,0.13,11
spark,Deposit,rsETH,Other,17733354.039064504,10,0.04,12
spark,Deposit,rETH,Other,17582791.829351798,84,0.04,13
spark,Deposit,tBTC,Other,1878276.7278175722,112,0,14
spark,Deposit,ezETH,Other,9.981067926113006,1,0,15
spark,Deposit,RLUSD,Other,1.000856,1,0,16
spark,Deposit,USDG,Other,1.000693,1,0,17
